Code,Tweet
Anti-Roseanne,@ABCNetwork Thanks for doing what is right by not letting @therealroseanne get away with being a piece of shit huma... https://t.co/YZ03LvesbG
Pro-Roseanne,@FoxNews  One of your guests today criticize Roseanne Barr and said she was anti-Semitic how Roseanne Barr is Jewish
Neither,@therealroseanne Of*^
Neither,Roseanne
Anti-Roseanne,@therealroseanne Do you realize how many people you hurt with your ignorant 'joke' - do you even care about other h... https://t.co/pfqXM4H15n
Pro-Roseanne,@therealroseanne U can say what ever u want Roseanne. ABC can kiss my ASS
Anti-Roseanne,Surprised but happy with ABC canceling Roseanne. I thought it was bullshit they gave her a reboot to begin with tho... https://t.co/bOS8PveESc
Neither,@ALT_uscis @THEsaragilbert Okay
Anti-Roseanne,@therealroseanne What a coincidence
Anti-Roseanne,@kingsleyyy Roseanne's hate made it even worse by the fact that her entitled bigotry has now cost an entire cast and crew their livelihood.
Anti-Roseanne,I am absolutely ashamed of You Roseanne Barr. God help us https://t.co/ijjgcIVGam
Anti-Roseanne,RacistBitch
Anti-Roseanne,@HamillHimself @THR Tim Allen is an asshole
Anti-Roseanne,@TheRickWilson She sure shoooowed us. Hey @realDonaldTrump
Pro-Roseanne,@missdixiecomet @therealroseanne What. She's a great funny person. Loved her show growing up and loved the new show.
Anti-Roseanne,It's a good day when morals win over money. Thank you @ABCNetwork there's no place in America for bigotry! Cancelle... https://t.co/nN1zCizDfk
Anti-Roseanne,@WhiteRa8392 @ABCNetwork @therealroseanne Racist
Anti-Roseanne,Hey Roseanne she's coming after your job.
Anti-Roseanne,@TedNugent YIKES. the racists keep exposing themselves and we can at least thank Roseanne for that!
Anti-Roseanne,@RoseanneOnABC Wow. My tweet worked.      ABC disagree with Roseanne's views and have cancelled the show.
Anti-Roseanne,ThankYouAbc
Neither,BlackPeople
Anti-Roseanne,@Sarah_G_Barker @realmikepacker @EdKrassen @therealroseanne Wake up
Neither,@elreyDallas @TrumpGirlStrong @therealroseanne I don't have any thirst for Republican approval
Anti-Roseanne,Roseanne talked too much for her own good I see.
Neither,https://t.co/ojVKKbfcrR
Pro-Roseanne,BoycottABC
Anti-Roseanne,@soonerrick @Lani6400 @therealroseanne Kill yourself pig.
Anti-Roseanne,FuckingRacist
Anti-Roseanne,@Variety Live look at @therealroseanne see ya you piece of human garbage. https://t.co/NZ1qsubyBb
Anti-Roseanne,This is indeed a 'statement' by @Disney and good for them demonstrating leadership by showing even a cash cow can b... https://t.co/8UDYmIlplR
Anti-Roseanne,@therealroseanne I think you're a reprehensible individual. You're entitled to your opinions and views
Neither,@therealroseanne  https://t.co/FNLFFIzsR9
Neither,TwitterLostAndFound
Neither,@HOFJack21 @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne Not really
Neither,@iamwandasykes your Tweet was quoted in an article by @thehill  https://t.co/SzFk19Irao
Anti-Roseanne,bye
Pro-Roseanne,@therealroseanne Stop being SORRY!!!!!
Pro-Roseanne,@therealroseanne Don't leave
Neither,Roseanne
Anti-Roseanne,@therealroseanne  Congratulations!!!  Your bigoted racist rant just got  your show Canceled by ABC After Roseanne B... https://t.co/f6Lfyu9Kzd
Neither,@Daradol1 @JackPosobiec @WaltDisneyCo @therealroseanne @ABCNetwork @espn ESPN just expanded his contract too
Anti-Roseanne,@StarTribune Just like Kathy Griffins 'bad joke' . Glad Roseanne lost her platform!
Neither,Roseanne
Anti-Roseanne,Why does anybody care what @therealroseanne thinks about anything? I mean isn't that enough... https://t.co/qmmSbtBSX6
Anti-Roseanne,@therealroseanne Thank you @ABCNetwork for doing the right thing and canceling her show.  I do feel for the other c... https://t.co/4d9eAyoVsa
Neither,entertainment
Neither,Roseanne
Neither,ABC
Anti-Roseanne,Roseanne' Canceled at ABC Following Racist Tweet - The Hollywood Reporter She made a hateful mistake and it affect... https://t.co/U0Vm5Ai7QY
Anti-Roseanne,@hEnereyG I'm taking my victories when they come on this one. Ress in pisssssss Roseanne
Anti-Roseanne,@therealroseanne @ChelseaClinton @OpenSociety You are one sick bitch @therealroseanne . https://t.co/CMehVc4oQO
Pro-Roseanne,@FoxNews Yet actual real racists like @JoyAnnReid still hasn't properly apologized and blames 'time travelers' whil... https://t.co/9F6Kra4ddI
Anti-Roseanne,Lol dumbass Roseanne
Neither,@therealroseanne  https://t.co/pUEdFkur36
Pro-Roseanne,saveroseanne
Anti-Roseanne,@therealroseanne Question is who you going to blame for ending your comeback and mainstream career? https://t.co/zBn9UoN0le
Neither,Roseanne
Anti-Roseanne,roseanne got cancelled. cosby got convicted. weinstein's been arrested. COME FOR WOODY ALLEN AND DUMP TRUCK NEXT 2018.
Anti-Roseanne,@BronxBoyInMD @Rosie @ABCNetwork @ValerieJarrett they can do Roseanne like they did Becky back in the day
Anti-Roseanne,@THEsaragilbert Sorry all your hard work was destroyed because of a loud mouth racist. But a leopard doesn't change... https://t.co/metmtuA5ix
Neither,@TinWain @RecipeForTheW @norwegian76 @JBFletcher44 @JrWuz @YaBoyChaley @williamlegate @therealroseanne Are you tell... https://t.co/CuKUtVDbxv
Neither,Roseanne
Pro-Roseanne,@DuleHill @ABC I don't get the big deal. It's what Roseanne does and has always done. 1 joke about 1 person does no... https://t.co/Hpb7o435l3
Anti-Roseanne,I always just assumed Roseanne would be canceled because it wasn't funny.
Pro-Roseanne,@therealroseanne Don't leave
Neither,@Feisty_FL @debluc745 @ABC @therealroseanne *only
Neither,movingonup
Anti-Roseanne,@mannoname4 @renwins @RealErinCruz @therealroseanne Racism at its finest smh
Anti-Roseanne,LMAO @therealroseanne   But condolences to the non-racist cast and crew of @RoseanneOnABC for suffering the consequ... https://t.co/vO3hGJQd9R
Anti-Roseanne,@therealroseanne Now you can be unemployed but look how you put the shaft to all the other folks working on that reboot. Great job
Anti-Roseanne,"we have to stop letting people make overtly racist statements &amp; then allow them to slide simply because they say ""I... https://t.co/iuS9jXm8FX"
Neither,@therealroseanne  https://t.co/meAUKxyJav
Pro-Roseanne,@therealroseanne I liked it. No slack in the conservative side
Anti-Roseanne,@marthamaccallum @therealroseanne @RealCandaceO Sure what Roseanne said was wrong.  April Ryan said the president T... https://t.co/e0obbSlBUw
Anti-Roseanne,BoycottRoseanne
Anti-Roseanne,@realmikepacker @Sarah_G_Barker @EdKrassen @therealroseanne Racism offends Everyrone !  Disney and Starbucks are ac... https://t.co/qtgTAOGeGr
Neither,Roseanne
Anti-Roseanne,Racist people crying 'FReEdom oF SPeECh'
Neither,Roseanne
Neither,https://t.co/YA9WiFbegE
Anti-Roseanne,goodriddance
Anti-Roseanne,RacistRoseanne
Pro-Roseanne,@therealroseanne Noooooooo!! Don't let the fragile crowd run you out... America needs your unique voice.. If you le... https://t.co/1WvIYO0Cka
Anti-Roseanne,Kudos to ABC. https://t.co/urwWhhpNHb
Anti-Roseanne,MadeMyDay
Pro-Roseanne,despite what may have been said
Neither,Roseanne
Anti-Roseanne,@DrTruthHurts Roseanne WAS NOT canceled due to a 'tweet.' Her show was canceled due to her awful blata... https://t.co/l81vL8X76u
Pro-Roseanne,@JerryDunleavy @therealroseanne @ValerieJarrett When mob forces retraction of needed criticism of people promoting... https://t.co/8iXi59F1zB
Anti-Roseanne,@THEsaragilbert I'm sorry this happened to you and the other nice people. As for Roseanne
Anti-Roseanne,@therealroseanne hahhahahah - bye bye racist biatch....... hope never to see you again.... in anything!!!!!!!!!!!!
Pro-Roseanne,@realmikecolter Just want to point out my while not one to one example
Neither,@MedvedSHOW @realDonaldTrump @ABCNetwork @therealroseanne i wonder how the show was doing in ratings. i personally... https://t.co/JAdtUiwPWS
Pro-Roseanne,@therealroseanne You have nothing to Apologize for. They say terrible things about OUR President everyday !!!!!!... https://t.co/rdH43XBKV6
Neither,Roseanne
Pro-Roseanne,@therealroseanne you should run for governor in California and WIN!!
Neither,@WilkowMajority @ABCNetwork @therealroseanne @espn @KeithOlbermann  https://t.co/zcQQAiJ3TO
Neither,retweet
Neither,@JLynn2018 @therealroseanne lol! Impeach? On what grounds? Oh - if the left hates Trump..they'll LOVE Pence! Carefu... https://t.co/KaD5Dr66UA
Anti-Roseanne,@therealroseanne Too late
Neither,Roseanne
Neither,Roseanne
Neither,@GlennKesslerWP @therealroseanne @ADL_National And @ChelseaClinton
Neither,@gee_beezus @therealroseanne @Expedia @ChelseaClinton Expedia AND Travelocity are the same!!!    https://t.co/wMvnnrbwSq
Neither,SensitivityTraining
Anti-Roseanne,Roseanne has now been canceled (rightfully so) because of her racist ass tweet- lemme see people online crying abou... https://t.co/jNvB4bcV1Q
Neither,@SinistarMoca @therealroseanne @kathygriffin @realDonaldTrump @ABCNetwork Basically that what I meant . Lol
Anti-Roseanne,@TheTweetwit @therealroseanne @ABC ABC did the right thing - good for them!
Pro-Roseanne,@therealroseanne Thank you Roseanne for being so frigging awesome!!
Anti-Roseanne,Later! https://t.co/IVrK7JvJD0
Neither,@RealOldHouswife @ParksideGal @ABCNetwork @therealroseanne realize? I don't think they cared one hoot.
Anti-Roseanne,Wow
Pro-Roseanne,@chrisb_writer @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne But Hillary is a drunken pedofile.
Pro-Roseanne,@FoxNews @KevinCate @dailybriefing They didn't cancel just Roseanne but much of their ratings !
Neither,@87Sunvalentine @therealroseanne The language is called english
Neither,@RussTamblyn @therealroseanne When you're a Jet
Neither,virtue
Pro-Roseanne,@THEsaragilbert Oh just stop. Grow up and stop bubble wrapping people. Liberlas need to grow up. Sticks &amp; stones. O... https://t.co/Lqdr4bR9kL
Neither,@TasteOfCountry @ABCNetwork @therealroseanne Nope!
Anti-Roseanne,@Stonekettle          @therealroseanne come 2 Canada we have a real place for you an igloo jail on a melting ice burg nor... https://t.co/jWeVKwgJB2
Neither,Roseanne
Neither,Roseanne
Neither,@USAHotLips @jojoh888 @ABC @therealroseanne @ArizonaKayte @carrieksada_ @KatTheHammer1 @kwilli1046 @DonnaWR8... https://t.co/hlfZ7KnzC2
Neither,@therealroseanne  https://t.co/yhHNpSP7H8
Pro-Roseanne,If Roseanne was a liberal or Hillary supporter I guarantee you people... https://t.co/rFa7J5p0VD
Anti-Roseanne,I am a life-long customer
Pro-Roseanne,@Dizzycaper2 @therealroseanne Why isn't gay hating Joy Reid cancelled @msnbc?
Anti-Roseanne,@therealroseanne Cancelled!!! https://t.co/3l9YYkWLkE
Pro-Roseanne,@OliverMcGee @ABC @therealroseanne I guess you can't call a spade a spade anymore ! We loose more an more RIGHTS every day !
Anti-Roseanne,Man
Neither,@Nitrouso2 @KurtSchlichter @therealroseanne @billmaher @JoyAnnReid I doubt it very much if those assholes are eithe... https://t.co/4TGLLTif3L
Neither,@TC_resistance @JessHar96703753 @therealroseanne Then tune out. Go away. Try to have a life outside of criticizing... https://t.co/YqUBez2siv
Anti-Roseanne,Good that ABC is cancelling Roseanne's show. But why did they air it in the first place? It's not like her racism w... https://t.co/sa6MhOBxtP
Neither,Of course Rod Liddle is going to be a huge fan of the transgressive and misunderstoo... https://t.co/zMoQL5AyKF
Anti-Roseanne,Hope you are happy @therealroseanne your show got canceled by @ABCNetwork cause of your tweet.
Neither,@terriayer @vibinmood @TalbertSwan @therealroseanne @ValerieJarrett NOT!
Neither,delete
Pro-Roseanne,@therealroseanne Fuck Valerie jerrate she's a piece of shit
Anti-Roseanne,Roseanne' Canceled at ABC Following Racist Tweet - The Hollywood Reporter Well that didn't take long...                     https://t.co/gEvACxdJbY
Anti-Roseanne,@therealroseanne Well since your show just got cancelled you might as well stay on Twitter.
Anti-Roseanne,@therealroseanne Thanks a lot for getting the show canceled
Anti-Roseanne,@therealroseanne Yea
Neither,Rosanne
Anti-Roseanne,@RealJohnSandor Or her hateful remarks against Christianity. She finally gives a forced apology and gets to stay no... https://t.co/JfG1XvOaPS
Anti-Roseanne,@thedoggeneral1 @realDonaldTrump Melania moves out
Neither,@teekhouse 1) The NFL isn't infringing on anybody's rights outside of the time period during which they are present... https://t.co/49Xw6zThRz
Neither,@Princessgen2917 @therealroseanne @ChelseaClinton @OpenSociety You might want to check her other tweets. Or the news.
Neither,@ladyhawkerfinds @therealroseanne  https://t.co/IWFH0UDNxg
Neither,@therealroseanne  https://t.co/KGszswnTBM
Pro-Roseanne,So @ABCNetwork decided to cancel @RoseanneOnABC because she disagreed with one of them.  Shows you the total bigotr... https://t.co/HoBt5TAdJE
Anti-Roseanne,@matthewamiller But sad they didn't vancel it when she attacked Parkland students.  https://t.co/cMZJO0ohyj
Neither,@pagnetti @TheTweetOfGod @realDonaldTrump @therealroseanne Sounds believable
Anti-Roseanne,Roseanne outchea messing with her and her co-stars' money.              Fucking idiot
Pro-Roseanne,@therealroseanne I will never watch ABC again.
Anti-Roseanne,@KTHopkins @therealroseanne Ha ha 
Anti-Roseanne,"@therealroseanne Nice. Your ridiculous ""joke"" cost the livelihood of dozens. Crawl back under that rock from ""wench... https://t.co/o9xAAYW3MH"
Anti-Roseanne,@therealroseanne Hahahahahahhaahha
Neither,NWO
Pro-Roseanne,ABC cancels Roseanne show... I cancel ABC. Democrats can say anything they want... No consequences for Democrats wh... https://t.co/Q2WGKRdV9O
Neither,@TrevBaileeTymom @OliverMcGee @ABC @therealroseanne I'm sure you have FACTS and NOT your OPINION to back up your st... https://t.co/jdIjkweGv4
Anti-Roseanne,@DrTruthHurts Roseanne called an African American lady an ape... Don't really know how anybody would come back from... https://t.co/VPdVaVdlEC
Anti-Roseanne,Are people really surprised that Roseanne is racist?
Pro-Roseanne,@gatewaypundit @therealroseanne @espn LEAVE @therealroseanne ALONE!!! WHAT SHE SAID IS NOTHING IN COMPARISON TO THE... https://t.co/XrDH4bnTdx
Anti-Roseanne,@Chadwick_Moore @therealroseanne While I'm no fan of VJ
Anti-Roseanne,Roseanne was garbage anyway. good riddance
Anti-Roseanne,@therealroseanne Good.  Twitter would be a much better place without racist assholes like you.  I'm so glad ABC cancelled your show.
Anti-Roseanne,@therealroseanne You literally compared a Black Woman to an ape.
Neither,Roseanne
Anti-Roseanne,Roseanne had just hired that guy who got evicted by his parents.  Sad!
Anti-Roseanne,@mijatoo @therealroseanne Classy!
Anti-Roseanne,@WonderAunt1979 @therealroseanne Freedom of speech =/= freedom of consequence.
Pro-Roseanne,@noblers144 @TeamCavuto Dems make crude including antiAmerican@noblers144 @TeamCavuto Dems make crude including antiAmerican comments nons... https://t.co/TWXhtk3syf
Neither,@NormsRespecter @JoPetersen14 @JackPosobiec @ABC @therealroseanne @iamwandasykes True story. He literally fucked ov... https://t.co/2lBHAWSgRA
Anti-Roseanne,@therealroseanne you love Trump so much your willing to lose all your friends and employment.. SAD.
Pro-Roseanne,IstandwithRoseanne
Anti-Roseanne,@therealroseanne @ABCNetwork Thank you ABC for doing the right thing and putting decency before profits. You did the right thing.
Neither,@AmericianGinger @00_dog @soonerrick @Beardtongue1912 @DeannaSader @DarbaDee @Lani6400 @therealroseanne Is that a threat??
Anti-Roseanne,Life comes at you fast...Roseanne learned that today.
Anti-Roseanne,@brianstelter Guess ABC execs got tired of holding their nose and waiting for Roseanne's next insane behavior to be... https://t.co/iZWw5sfLn4
Pro-Roseanne,@FiveRights I agree. So many things have been said against whites &amp; threats made against the President
Anti-Roseanne,Some things apparently
Neither,ABC Cancels 'Roseanne' Reboot https://t.co/PdSBy9KGgL
Pro-Roseanne,@THEsaragilbert Sad the show has been cancelled however I happen to like @therealroseanne  she is st... https://t.co/cVrFxLErkz
Neither,Roseanne' Canceled By ABC https://t.co/pi1qmxHBbx
Anti-Roseanne,@therealroseanne The jokes on you now. You aren't sorry. https://t.co/ocghe746xJ
Anti-Roseanne,Now that's how consequences are done!  Rot in ignominy
Neither,Roseanne
Anti-Roseanne,@therealroseanne Did they actually cancel your Show?!?? Shocking... well not really.
Neither,Roseanne
Anti-Roseanne,@MarkDice @therealroseanne No just an orange moron. Hey mark. Rosanne has free speech but kapernick doesn't ?? GTH
Neither,Roseanne
Neither,Roseanne
Neither,Roseanne
Neither,@blkumathurman @RoseanneOnABC @ABCNetwork @therealroseanne Perhaps not all.  I'm sure the little kids didn't.  Mayb... https://t.co/oJ2JwSyCKD
Anti-Roseanne,ABC could have saved a lot of drama if they had taken a look at Roseanne Barr's twitter feed and public statements... https://t.co/z3Uns9a7Bn
Anti-Roseanne,It pisses me off to see people thanking Wanda Sykes and ABC. They enabled Roseanne all to make a buck. We all knew who Roseanne was!
Neither,Roseanne
Anti-Roseanne,@mjfree @therealroseanne @realDonaldTrump You should be focusing on recovering from you being outed as a sexual har... https://t.co/3FUprA29Ua
Anti-Roseanne,ThanksABC
Neither,Roseanne
Anti-Roseanne,For everyone that was outraged and sickened by what @therealroseanne said...GOOD.  Now get out in November and vote... https://t.co/vjESpQ7rbA
Anti-Roseanne,@therealroseanne so amazing that your show got canceled!! Your racist kind doesn't deserve to have the kind of voic... https://t.co/rk83jspk8h
Anti-Roseanne,yes this mean she's performing at White House Correspondents Dinner next year? ==&gt;  Roseanne' canceled after star's... https://t.co/Dn5jWPonRn
Anti-Roseanne,@Debbie_NOSNIBOR @CNN @therealroseanne @ABCNetwork SHS says the same thing when 45 spews the same bullshit. He was... https://t.co/1KVU7JJ6NF
Anti-Roseanne,@heathlee @granthpaulsen Roseanne's career is officially over.
Anti-Roseanne,@therealroseanne Bye Felicia https://t.co/LjO68xWWsp
Anti-Roseanne,@therealroseanne Good just leave.  Your show wasn't funny after the original second year.  The reboot ducked.  You... https://t.co/nNdrjvh34w
Neither,Roseanne
Neither,Roseanne
Neither,Roseanne
Pro-Roseanne,@FOXTV Since ABC has no intestinal fortitude to stand behind their people
Pro-Roseanne,@idbythesea @creolecajun @therealroseanne Many watched the show every week. ABC IS TOO FAR LEFT
Anti-Roseanne,@therealroseanne What really upsets me the most is how much your loud af racist rants really hurts America. Pls ste... https://t.co/zjFHwFMUKD
Anti-Roseanne,@therealroseanne Fuck right off
Anti-Roseanne,There's a huge difference between commenting on Celebrity Commander vs Roseanne's Islamophobic and racist remark.... https://t.co/fJLbRKbUyc
Neither,@angusparvo @TheRealHublife @therealroseanne @WaltDisneyCo
Anti-Roseanne,Glad Roseanne was cancelled but not as glad that the president of the United States of America is likely going to s... https://t.co/iEj2mYI8wC
Anti-Roseanne,@therealroseanne it's religion and there should be no 'race' we're all human. fy
Anti-Roseanne,@therealroseanne Still here. The only thing about you that's true is your racist
Neither,@JordanUhl You serious dude? They were protesting while they were on the clock AT WORK. That's why they CANNOT do i... https://t.co/ncFp8gD4Yv
Pro-Roseanne,@FoxNews You should consider picking up Roseanne show!!!
Anti-Roseanne,@KayaJones @therealroseanne I think what Roseanne said was vile and disgusting. I also believe that if she wasn't a... https://t.co/1u17WNrgoq
Anti-Roseanne,Roseanne' Canceled at ABC Following Racist Tweet - The Hollywood Reporter     So but we shou... https://t.co/f8wE8HNGAI
Anti-Roseanne,@realLibertyTom @therealroseanne You lost. https://t.co/afJ7woZ4LL
Neither,@OliverMcGee @RyanAFournier @FOXTV @therealroseanne @FoxNews @POTUS @realDonaldTrump @seanhannity @HappeningNow... https://t.co/KSoLHIhlmA
Neither,@ljpflash @LadyBabs07 @therealroseanne @ABC
Anti-Roseanne,@kathysmith2k7 @GardenGirl9 @DaddyFems @therealroseanne @fixnews bahaha said the idiot
Neither,Roseanne Barr apologizes for 'bad joke' about Obama aide https://t.co/dJsGyJjCTP
Anti-Roseanne,@therealroseanne  Hahaha hahaha ...Good Bye ABC cancels 'Roseanne' after Roseanne Barr compares black Obama aide Jarrett to an ape
Neither,@The_UnSilent_ @MamaRose2017 @MSNBC @Deggans @therealroseanne  https://t.co/PICvDLrLFx
Anti-Roseanne,Roseanne's show being canceled might be the tipping point where racist language and imagery has consequences again.
Anti-Roseanne,WAIT - Wanda Sykes was a producer on Roseanne?  TF is going on?
Anti-Roseanne,Roseanne been saying racist stuff for years btw
Neither,@Wbarial302 @nbc @therealroseanne My bad.
Anti-Roseanne,@Dancingdaria @misstinafey @nicwil75 @DaddyFems @JakeSherman @therealroseanne You don't have to be a Democrat to ha... https://t.co/PljIc3fftd
Anti-Roseanne,"@therealroseanne your a huge fan of Trump so let me be the one to quote him ""YO... https://t.co/QIz9ydOZwn"
Anti-Roseanne,@6lackDynamite @normalsusan @THEsaragilbert @therealroseanne Lol lol... I could totally hear his Laugh In the Beginning credits...lol
Anti-Roseanne,@TheTweetwit @therealroseanne @ABC She done got her show cancelled due to racist and hateful verbal diarrhea.
Neither,Roseanne
Anti-Roseanne,@soonerrick @BethB1213 @therealroseanne @ABCNetwork Roseanne canceled! Thank you @ABCNetwork
Neither,@TT45Pac @ian_shuker @therealroseanne Really the school and year.
Anti-Roseanne,Roseanne can EAD         \u200d
Neither,Roseanne
Neither,Roseanne
Neither,@therealroseanne  https://t.co/uwbDst2diE
Pro-Roseanne,@ABC @ABC your station is inconsistent with my values - freedom of speech! So I have decided to cancel your station! @therealroseanne
Anti-Roseanne,Fuuuuuuck @therealroseanne for screwing over the rest of the cast and crew of her show because she couldn't keep he... https://t.co/NkoRwCEZaM
Neither,Roseanne
Anti-Roseanne,@DonitaDRKennedy @therealroseanne Sadly for those who are now looking for work
Anti-Roseanne,Racists &amp; bigots never win @RoseanneOnABC @therealroseanne  I guess now you'll be hired in his administration... https://t.co/e9TLIzXOuf
Neither,@KateHydeNY and the same week they fired Roseanne(a comedian) they expanded Keith Olberman's role at ESPN...
Anti-Roseanne,buhbye
Anti-Roseanne,@therealroseanne Go away bitch
Anti-Roseanne,F YOU!!        RT @therealroseanne: I apologize to Valerie Jarrett and to all Americans. I am truly sorry for making a ba... https://t.co/byDgQawHcT
Anti-Roseanne,Me getting off work and seeing that Roseanne is finally being cancelled https://t.co/52LynOBBxb
Anti-Roseanne,Glad that ABC finally cancelled Roseanne
Neither,@GreatDanton92 @therealroseanne Looks accurate to me... you?? anti-truther or what??
Pro-Roseanne,@therealroseanne Those racist AH @abc are bigots! They're ok with other comedians bashing those associated with... https://t.co/VM7ELOZRpU
Anti-Roseanne,@MarkSZaidEsq @therealroseanne @T_S_P_O_O_K_Y What's SAD is your hypocrisy and fake outrage.
Neither,@therealroseanne @OldTakesExposed
Anti-Roseanne,@therealroseanne good--and take your buddy Trump with you---
Neither,Update: @ABCNetwork's president has decided to cancel the 'Roseanne' reboot.  https://t.co/EMKgjFJKWU https://t.co/twPU2ZLIrL
Pro-Roseanne,@therealroseanne No apology necessary. @ABCNetwork was just looking for an excuse to cancel the show
Neither,https://t.co/aNcETDjuH4
Neither,Roseanne Barr compares black Obama aide Valerie Jarrett to an ape - and later apologizes https://t.co/hks5cbbP51
Neither,@therealroseanne How about earth?
Anti-Roseanne,@ashleylynch Might have something to do with attacking people with connections. Roseanne was always a bigot.
Neither,https://t.co/mGoGsdCjFA
Anti-Roseanne,@therealroseanne I applaud ABC on the cancellation of your show you Racist bitch ! Maybe now you can get a job  wit... https://t.co/MnOux8NGF4
Anti-Roseanne,@therealroseanne But you sure still dislike brown people.  :p  especially if they're muslim.  ;)
Pro-Roseanne,freespeech
Anti-Roseanne,@therealroseanne what the hell is wrong with you???
Anti-Roseanne,@therealroseanne HAHAHA.. you are a third rate comedian.. now your crappy show is cancelled. Good. You filthy peopl... https://t.co/c7DKWcAdui
Anti-Roseanne,Wish Bob Mueller worked as fast as @ABCNetwork cancelling Roseanne!
Neither,Roseanne
Neither,@therealroseanne I didn't serve but my great grandfather my mom's 2 brothers
Anti-Roseanne,@therealroseanne Bye.
Anti-Roseanne,I look to a day when people will not be judged by the color of their skin
Pro-Roseanne,Roseanne gets cancelled. Yet The View goes on and on.  What Roseanne said is nothing compared what is said about Tr... https://t.co/cCODPphbzS
Anti-Roseanne,https://t.co/4PNwrILA4v it was only a matter of time before her racist colors came out
Pro-Roseanne,@POTUS CORRUPT DISNEY LIBERAL ISNER CANCELS ROSEANNE - ABC's most popular show? Roseanne tweeted
Anti-Roseanne,@therealroseanne @ChelseaClinton @OpenSociety Omg Roseanne.
Pro-Roseanne,@morningmoneyben She didn't rip away their careers ABC did. No one really cares what Roseanne says on Twitter. The... https://t.co/ru4pwPXznf
Anti-Roseanne,@therealroseanne Go make a loose meat sandwich and think about all those folks that just lost their jobs because yo... https://t.co/RDTFxZtDLJ
Anti-Roseanne,The Roseanne reboot is canceled.. NEXT... who wanted that anyways? https://t.co/eBRHMbNoqJ
Pro-Roseanne,Only if you are way left can you get away with comments mocking ones appearance. What about the comedian who slashe... https://t.co/U9tqPHMgvG
Neither,@rolandsmartin @therealroseanne @RoseanneOnABC  https://t.co/uVGT2Vrkud
Neither,@therealroseanne Roseanne cancelled you say?? https://t.co/SDW8XZpcT7
Anti-Roseanne,Can't wait for Trump's tweets condemning ABC for cancelling Roseanne. Cmon dude
Pro-Roseanne,I didn't like what Roseanne said but why cancel the show? People have waited YEARS for a revival
Pro-Roseanne,@RubinReport So Colin Kaepernick and Roseanne are different? Liberal bias is overwhelming.
Anti-Roseanne,@therealroseanne Just... leave.
Neither,Roseanne
Neither,@qanon76 @FoxNews @The_Rain_Makers @DiamondandSilk @ItsFlatPeople @realDonaldTrump @therealroseanne @kanyewest... https://t.co/bgLROOXIp0
Anti-Roseanne,@soulberries Let's see if Trump comes out and condemns Roseanne's racist comments as quick as he came out to suppor... https://t.co/6R86aoYZuO
Neither,@rickc817 @ABCNetwork @jimmykimmel @FLOTUS @TheView @therealroseanne @nbc @FOXTV @CBS You can still watch Lawrence Welk on PBS
Anti-Roseanne,so we going out tonight and poppin big bottles now that roseanne is cancelled and i don't have to see her hateful a... https://t.co/NO42CvC7nX
Anti-Roseanne,lmao Roseanne is cancelled
Neither,@themghtyquinn @erotesis @gee_beezus @therealroseanne @Expedia @ChelseaClinton @seanhannity @IngrahamAngle It wasn'... https://t.co/04pYBwO9HB
Neither,Roseanne
Pro-Roseanne,@FoxNews ABC cancels the most successful comedian show that they have and Netflix hires sleaze comedian Wolff and t... https://t.co/4i2nBbVGAa
Pro-Roseanne,@tweeterposter ABC will regret their decision
Anti-Roseanne,@therealroseanne And ABC did ya Ms. Privilege!
Anti-Roseanne,@antventure @therealroseanne I do believe that anytime someone compares a black person to apes not bad taste.
Neither,@JTMYVA @therealroseanne Hi Russian bot
Pro-Roseanne,@Feisty_FL @FreedomChild3 @ABC @therealroseanne I want @TheView CANCELLED! NOW!
Anti-Roseanne,@therealroseanne @ABC thank you for having the courage to cancel one of your highest rated shows! Roseanne is a mea... https://t.co/kUvbCPZVWA
Pro-Roseanne,@therealroseanne I forgive you
Anti-Roseanne,@therealroseanne @KFILE You have shown us what's in your heart!
Anti-Roseanne,@therealroseanne you shouldn't have had a chance to be revived anyway. bye
Pro-Roseanne,@therealroseanne Why haven't they cancel the View? joy never came on and said that she was plainly sorry? What abou... https://t.co/iX1qestAte
Anti-Roseanne,"@KendallRaeOnYT @therealroseanne Then tried to play it off as a ""joke"" when the show got cancelled. Racist comments... https://t.co/TfmQEnOp3E"
Anti-Roseanne,@TheAshenLuca @kidsmoove Roseanne Compared A Black Woman To A Monkey During Racist Twitter Rant!
Anti-Roseanne,Absolutely nuts that Roseanne turned out to still have the same vile opinions she had a few months ago.
Neither,NRO: RT JJ_McCullough: I tried to warn you. https://t.co/TkXL6hlsmK (NR)
Neither,sjw
Anti-Roseanne,https://t.co/aiLu0p3nq1 just came for Roseanne Barr and her racist comments https://t.co/OygvkiXjuX https://t.co/7tltM0OSkF
Anti-Roseanne,Bye bye
Pro-Roseanne,BoycottABC
Anti-Roseanne,Roseanne wasn't fired for being a conservative.  She was fired for hate speech.  Tim Allen isn't hated for being a... https://t.co/3AD08AnuQb
Anti-Roseanne,ROSEANNE BARR Sadly Money&amp;Fame cant make a person&amp;'we need 2 remember' NO-1s BORN A RACIST 1 BEGINS&amp;LEARNS 2B A RACIST Sad all who shes hurt
Neither,Roseanne
